iteration_frequency,error_pattern_change,time_to_completion,self_evaluation_score,external_feedback_quality,task_complexity_level,engagement_depth,confidence_level,knowledge_transfer_success,consistency_score,abstract_signal_strength,response_latency_variability,intentional_error_flag,revisit_rate,vocabulary_expansion_count,feedback_revision_delay,surprise_tolerance_score,exploratory_task_deviation,self_explanation_count,output_compression_ratio,emotional_consistency_score,curiosity_level
9,-0.10,300.5,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,300.7,0.50,0.50,1,0.40,0.65,0.55
11,0.30,190.8,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,7,120.5,0.65,0.35,4,0.55,0.80,0.70
6,-0.05,380.2,1,0,7,0.50,0.35,0,0.60,0.50,0.55,0,6,3,500.9,0.40,0.60,0,0.35,0.55,0.45
14,0.45,150.5,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,11,50.2,0.70,0.20,3,0.65,0.90,0.85
8,0.10,290.4,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,320.7,0.50,0.50,1,0.40,0.65,0.55
16,0.60,120.3,5,3,2,0.90,0.85,1,0.95,0.80,0.10,0,1,13,20.1,0.80,0.15,4,0.70,0.95,0.90
10,-0.15,340.8,2,1,7,0.55,0.40,0,0.60,0.50,0.50,0,6,3,400.6,0.45,0.55,1,0.45,0.60,0.50
12,0.35,180.7,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,8,100.4,0.65,0.35,4,0.55,0.80,0.75
7,0.05,410.9,1,0,8,0.50,0.30,0,0.55,0.45,0.60,0,7,2,600.8,0.35,0.65,0,0.30,0.50,0.40
15,0.50,140.6,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,10,60.3,0.75,0.20,3,0.65,0.90,0.80
9,-0.10,310.5,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,300.7,0.50,0.50,1,0.40,0.65,0.55
11,0.30,200.8,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,7,120.5,0.65,0.35,4,0.55,0.80,0.70
6,-0.05,390.2,1,0,7,0.50,0.35,0,0.60,0.50,0.55,0,6,3,500.9,0.40,0.60,0,0.35,0.55,0.45
14,0.45,160.5,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,11,50.2,0.70,0.20,3,0.65,0.90,0.85
8,0.10,300.4,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,320.7,0.50,0.50,1,0.40,0.65,0.55
16,0.60,130.3,5,3,2,0.90,0.85,1,0.95,0.80,0.10,0,1,13,20.1,0.80,0.15,4,0.70,0.95,0.90
10,-0.15,350.8,2,1,7,0.55,0.40,0,0.60,0.50,0.50,0,6,3,400.6,0.45,0.55,1,0.45,0.60,0.50
12,0.35,190.7,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,8,100.4,0.65,0.35,4,0.55,0.80,0.75
7,0.05,420.9,1,0,8,0.50,0.30,0,0.55,0.45,0.60,0,7,2,600.8,0.35,0.65,0,0.30,0.50,0.40
15,0.50,150.6,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,10,60.3,0.75,0.20,3,0.65,0.90,0.80
9,-0.10,320.5,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,300.7,0.50,0.50,1,0.40,0.65,0.55
11,0.30,210.8,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,7,120.5,0.65,0.35,4,0.55,0.80,0.70
6,-0.05,400.2,1,0,7,0.50,0.35,0,0.60,0.50,0.55,0,6,3,500.9,0.40,0.60,0,0.35,0.55,0.45
14,0.45,170.5,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,11,50.2,0.70,0.20,3,0.65,0.90,0.85
8,0.10,310.4,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,320.7,0.50,0.50,1,0.40,0.65,0.55
16,0.60,140.3,5,3,2,0.90,0.85,1,0.95,0.80,0.10,0,1,13,20.1,0.80,0.15,4,0.70,0.95,0.90
10,-0.15,360.8,2,1,7,0.55,0.40,0,0.60,0.50,0.50,0,6,3,400.6,0.45,0.55,1,0.45,0.60,0.50
12,0.35,200.7,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,8,100.4,0.65,0.35,4,0.55,0.80,0.75
7,0.05,430.9,1,0,8,0.50,0.30,0,0.55,0.45,0.60,0,7,2,600.8,0.35,0.65,0,0.30,0.50,0.40
15,0.50,160.6,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,10,60.3,0.75,0.20,3,0.65,0.90,0.80
9,-0.10,330.5,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,300.7,0.50,0.50,1,0.40,0.65,0.55
11,0.30,220.8,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,7,120.5,0.65,0.35,4,0.55,0.80,0.70
6,-0.05,410.2,1,0,7,0.50,0.35,0,0.60,0.50,0.55,0,6,3,500.9,0.40,0.60,0,0.35,0.55,0.45
14,0.45,180.5,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,11,50.2,0.70,0.20,3,0.65,0.90,0.85
8,0.10,320.4,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,320.7,0.50,0.50,1,0.40,0.65,0.55
16,0.60,150.3,5,3,2,0.90,0.85,1,0.95,0.80,0.10,0,1,13,20.1,0.80,0.15,4,0.70,0.95,0.90
10,-0.15,370.8,2,1,7,0.55,0.40,0,0.60,0.50,0.50,0,6,3,400.6,0.45,0.55,1,0.45,0.60,0.50
12,0.35,210.7,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,8,100.4,0.65,0.35,4,0.55,0.80,0.75
7,0.05,440.9,1,0,8,0.50,0.30,0,0.55,0.45,0.60,0,7,2,600.8,0.35,0.65,0,0.30,0.50,0.40
15,0.50,170.6,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,10,60.3,0.75,0.20,3,0.65,0.90,0.80
9,-0.10,340.5,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,300.7,0.50,0.50,1,0.40,0.65,0.55
11,0.30,230.8,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,7,120.5,0.65,0.35,4,0.55,0.80,0.70
6,-0.05,420.2,1,0,7,0.50,0.35,0,0.60,0.50,0.55,0,6,3,500.9,0.40,0.60,0,0.35,0.55,0.45
14,0.45,190.5,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,11,50.2,0.70,0.20,3,0.65,0.90,0.85
8,0.10,330.4,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,320.7,0.50,0.50,1,0.40,0.65,0.55
16,0.60,160.3,5,3,2,0.90,0.85,1,0.95,0.80,0.10,0,1,13,20.1,0.80,0.15,4,0.70,0.95,0.90
10,-0.15,380.8,2,1,7,0.55,0.40,0,0.60,0.50,0.50,0,6,3,400.6,0.45,0.55,1,0.45,0.60,0.50
12,0.35,220.7,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,8,100.4,0.65,0.35,4,0.55,0.80,0.75
7,0.05,450.9,1,0,8,0.50,0.30,0,0.55,0.45,0.60,0,7,2,600.8,0.35,0.65,0,0.30,0.50,0.40
15,0.50,180.6,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,10,60.3,0.75,0.20,3,0.65,0.90,0.80
9,-0.10,350.5,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,300.7,0.50,0.50,1,0.40,0.65,0.55
11,0.30,240.8,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,7,120.5,0.65,0.35,4,0.55,0.80,0.70
6,-0.05,430.2,1,0,7,0.50,0.35,0,0.60,0.50,0.55,0,6,3,500.9,0.40,0.60,0,0.35,0.55,0.45
14,0.45,200.5,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,11,50.2,0.70,0.20,3,0.65,0.90,0.85
8,0.10,340.4,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,320.7,0.50,0.50,1,0.40,0.65,0.55
16,0.60,170.3,5,3,2,0.90,0.85,1,0.95,0.80,0.10,0,1,13,20.1,0.80,0.15,4,0.70,0.95,0.90
10,-0.15,390.8,2,1,7,0.55,0.40,0,0.60,0.50,0.50,0,6,3,400.6,0.45,0.55,1,0.45,0.60,0.50
12,0.35,230.7,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,8,100.4,0.65,0.35,4,0.55,0.80,0.75
7,0.05,460.9,1,0,8,0.50,0.30,0,0.55,0.45,0.60,0,7,2,600.8,0.35,0.65,0,0.30,0.50,0.40
15,0.50,190.6,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,10,60.3,0.75,0.20,3,0.65,0.90,0.80
9,-0.10,360.5,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,300.7,0.50,0.50,1,0.40,0.65,0.55
11,0.30,250.8,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,7,120.5,0.65,0.35,4,0.55,0.80,0.70
6,-0.05,440.2,1,0,7,0.50,0.35,0,0.60,0.50,0.55,0,6,3,500.9,0.40,0.60,0,0.35,0.55,0.45
14,0.45,210.5,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,11,50.2,0.70,0.20,3,0.65,0.90,0.85
8,0.10,350.4,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,320.7,0.50,0.50,1,0.40,0.65,0.55
16,0.60,180.3,5,3,2,0.90,0.85,1,0.95,0.80,0.10,0,1,13,20.1,0.80,0.15,4,0.70,0.95,0.90
10,-0.15,400.8,2,1,7,0.55,0.40,0,0.60,0.50,0.50,0,6,3,400.6,0.45,0.55,1,0.45,0.60,0.50
12,0.35,240.7,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,8,100.4,0.65,0.35,4,0.55,0.80,0.75
7,0.05,470.9,1,0,8,0.50,0.30,0,0.55,0.45,0.60,0,7,2,600.8,0.35,0.65,0,0.30,0.50,0.40
15,0.50,200.6,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,10,60.3,0.75,0.20,3,0.65,0.90,0.80
9,-0.10,370.5,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,300.7,0.50,0.50,1,0.40,0.65,0.55
11,0.30,260.8,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,7,120.5,0.65,0.35,4,0.55,0.80,0.70
6,-0.05,450.2,1,0,7,0.50,0.35,0,0.60,0.50,0.55,0,6,3,500.9,0.40,0.60,0,0.35,0.55,0.45
14,0.45,220.5,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,11,50.2,0.70,0.20,3,0.65,0.90,0.85
8,0.10,360.4,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,320.7,0.50,0.50,1,0.40,0.65,0.55
16,0.60,190.3,5,3,2,0.90,0.85,1,0.95,0.80,0.10,0,1,13,20.1,0.80,0.15,4,0.70,0.95,0.90
10,-0.15,410.8,2,1,7,0.55,0.40,0,0.60,0.50,0.50,0,6,3,400.6,0.45,0.55,1,0.45,0.60,0.50
12,0.35,250.7,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,8,100.4,0.65,0.35,4,0.55,0.80,0.75
7,0.05,480.9,1,0,8,0.50,0.30,0,0.55,0.45,0.60,0,7,2,600.8,0.35,0.65,0,0.30,0.50,0.40
15,0.50,210.6,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,10,60.3,0.75,0.20,3,0.65,0.90,0.80
9,-0.10,380.5,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,300.7,0.50,0.50,1,0.40,0.65,0.55
11,0.30,270.8,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,7,120.5,0.65,0.35,4,0.55,0.80,0.70
6,-0.05,460.2,1,0,7,0.50,0.35,0,0.60,0.50,0.55,0,6,3,500.9,0.40,0.60,0,0.35,0.55,0.45
14,0.45,230.5,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,11,50.2,0.70,0.20,3,0.65,0.90,0.85
8,0.10,370.4,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,320.7,0.50,0.50,1,0.40,0.65,0.55
16,0.60,200.3,5,3,2,0.90,0.85,1,0.95,0.80,0.10,0,1,13,20.1,0.80,0.15,4,0.70,0.95,0.90
10,-0.15,420.8,2,1,7,0.55,0.40,0,0.60,0.50,0.50,0,6,3,400.6,0.45,0.55,1,0.45,0.60,0.50
12,0.35,260.7,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,8,100.4,0.65,0.35,4,0.55,0.80,0.75
7,0.05,490.9,1,0,8,0.50,0.30,0,0.55,0.45,0.60,0,7,2,600.8,0.35,0.65,0,0.30,0.50,0.40
15,0.50,220.6,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,10,60.3,0.75,0.20,3,0.65,0.90,0.80
9,-0.10,390.5,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,300.7,0.50,0.50,1,0.40,0.65,0.55
11,0.30,280.8,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,7,120.5,0.65,0.35,4,0.55,0.80,0.70
6,-0.05,470.2,1,0,7,0.50,0.35,0,0.60,0.50,0.55,0,6,3,500.9,0.40,0.60,0,0.35,0.55,0.45
14,0.45,240.5,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,11,50.2,0.70,0.20,3,0.65,0.90,0.85
8,0.10,380.4,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,320.7,0.50,0.50,1,0.40,0.65,0.55
16,0.60,210.3,5,3,2,0.90,0.85,1,0.95,0.80,0.10,0,1,13,20.1,0.80,0.15,4,0.70,0.95,0.90
10,-0.15,430.8,2,1,7,0.55,0.40,0,0.60,0.50,0.50,0,6,3,400.6,0.45,0.55,1,0.45,0.60,0.50
12,0.35,270.7,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,8,100.4,0.65,0.35,4,0.55,0.80,0.75
7,0.05,500.9,1,0,8,0.50,0.30,0,0.55,0.45,0.60,0,7,2,600.8,0.35,0.65,0,0.30,0.50,0.40
15,0.50,230.6,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,10,60.3,0.75,0.20,3,0.65,0.90,0.80
9,-0.10,400.5,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,300.7,0.50,0.50,1,0.40,0.65,0.55
11,0.30,290.8,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,7,120.5,0.65,0.35,4,0.55,0.80,0.70
6,-0.05,480.2,1,0,7,0.50,0.35,0,0.60,0.50,0.55,0,6,3,500.9,0.40,0.60,0,0.35,0.55,0.45
14,0.45,250.5,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,11,50.2,0.70,0.20,3,0.65,0.90,0.85
8,0.10,390.4,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,320.7,0.50,0.50,1,0.40,0.65,0.55
16,0.60,220.3,5,3,2,0.90,0.85,1,0.95,0.80,0.10,0,1,13,20.1,0.80,0.15,4,0.70,0.95,0.90
10,-0.15,440.8,2,1,7,0.55,0.40,0,0.60,0.50,0.50,0,6,3,400.6,0.45,0.55,1,0.45,0.60,0.50
12,0.35,280.7,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,8,100.4,0.65,0.35,4,0.55,0.80,0.75
7,0.05,510.9,1,0,8,0.50,0.30,0,0.55,0.45,0.60,0,7,2,600.8,0.35,0.65,0,0.30,0.50,0.40
15,0.50,240.6,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,10,60.3,0.75,0.20,3,0.65,0.90,0.80
9,-0.10,410.5,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,300.7,0.50,0.50,1,0.40,0.65,0.55
11,0.30,300.8,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,7,120.5,0.65,0.35,4,0.55,0.80,0.70
6,-0.05,490.2,1,0,7,0.50,0.35,0,0.60,0.50,0.55,0,6,3,500.9,0.40,0.60,0,0.35,0.55,0.45
14,0.45,260.5,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,11,50.2,0.70,0.20,3,0.65,0.90,0.85
8,0.10,400.4,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,320.7,0.50,0.50,1,0.40,0.65,0.55
16,0.60,230.3,5,3,2,0.90,0.85,1,0.95,0.80,0.10,0,1,13,20.1,0.80,0.15,4,0.70,0.95,0.90
10,0.25,190.6,3,2,5,0.70,0.60,1,0.75,0.65,0.30,1,4,6,140.3,0.60,0.40,4,0.50,0.80,0.70
8,-0.12,350.7,2,1,7,0.55,0.40,0,0.60,0.50,0.50,0,6,3,410.6,0.45,0.55,1,0.45,0.60,0.50
13,0.48,110.4,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,10,55.2,0.75,0.20,3,0.65,0.90,0.80
7,0.03,420.8,1,0,8,0.50,0.30,0,0.55,0.45,0.60,0,7,2,620.7,0.35,0.65,0,0.30,0.50,0.40
15,0.58,100.5,5,3,2,0.90,0.85,1,0.95,0.80,0.10,0,1,12,25.1,0.80,0.15,4,0.70,0.95,0.90
9,-0.08,310.5,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,315.8,0.50,0.50,1,0.40,0.65,0.55
11,0.32,170.8,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,7,115.4,0.65,0.35,4,0.55,0.80,0.75
6,-0.03,390.3,1,0,7,0.50,0.35,0,0.60,0.50,0.55,0,6,3,505.9,0.40,0.60,0,0.35,0.55,0.45
14,0.50,130.6,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,11,50.3,0.70,0.20,3,0.65,0.90,0.85
10,0.20,200.7,3,2,5,0.70,0.60,1,0.75,0.65,0.30,1,4,6,135.5,0.60,0.40,4,0.50,0.80,0.70
12,0.42,120.5,4,3,2,0.90,0.85,1,0.95,0.80,0.10,0,1,13,20.2,0.80,0.15,4,0.70,0.95,0.90
8,-0.18,320.6,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,325.7,0.50,0.50,1,0.40,0.65,0.55
11,0.28,180.7,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,7,120.5,0.65,0.35,4,0.55,0.80,0.75
7,-0.02,400.2,1,0,7,0.50,0.35,0,0.60,0.50,0.55,0,6,3,510.9,0.40,0.60,0,0.35,0.55,0.45
14,0.52,140.4,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,11,50.2,0.70,0.20,3,0.65,0.90,0.85
9,0.15,290.5,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,310.7,0.50,0.50,1,0.40,0.65,0.55
16,0.60,110.3,5,3,2,0.90,0.85,1,0.95,0.80,0.10,0,1,13,20.1,0.80,0.15,4,0.70,0.95,0.90
10,-0.10,340.8,2,1,7,0.55,0.40,0,0.60,0.50,0.50,0,6,3,400.6,0.45,0.55,1,0.45,0.60,0.50
12,0.35,160.7,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,8,100.4,0.65,0.35,4,0.55,0.80,0.75
7,0.05,410.9,1,0,8,0.50,0.30,0,0.55,0.45,0.60,0,7,2,600.8,0.35,0.65,0,0.30,0.50,0.40
15,0.45,130.6,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,10,60.3,0.75,0.20,3,0.65,0.90,0.80
9,-0.10,300.5,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,300.7,0.50,0.50,1,0.40,0.65,0.55
11,0.30,180.8,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,7,120.5,0.65,0.35,4,0.55,0.80,0.70
6,-0.05,380.2,1,0,7,0.50,0.35,0,0.60,0.50,0.55,0,6,3,500.9,0.40,0.60,0,0.35,0.55,0.45
14,0.50,150.5,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,11,50.2,0.70,0.20,3,0.65,0.90,0.85
8,0.10,280.4,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,320.7,0.50,0.50,1,0.40,0.65,0.55
16,0.55,120.3,5,3,2,0.90,0.85,1,0.95,0.80,0.10,0,1,13,20.1,0.80,0.15,4,0.70,0.95,0.90
10,-0.15,350.8,2,1,7,0.55,0.40,0,0.60,0.50,0.50,0,6,3,400.6,0.45,0.55,1,0.45,0.60,0.50
12,0.35,170.7,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,8,100.4,0.65,0.35,4,0.55,0.80,0.75
7,0.05,400.9,1,0,8,0.50,0.30,0,0.55,0.45,0.60,0,7,2,600.8,0.35,0.65,0,0.30,0.50,0.40
15,0.45,140.6,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,10,60.3,0.75,0.20,3,0.65,0.90,0.80
9,-0.10,310.5,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,300.7,0.50,0.50,1,0.40,0.65,0.55
11,0.30,190.8,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,7,120.5,0.65,0.35,4,0.55,0.80,0.70
6,-0.05,390.2,1,0,7,0.50,0.35,0,0.60,0.50,0.55,0,6,3,500.9,0.40,0.60,0,0.35,0.55,0.45
14,0.50,160.5,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,11,50.2,0.70,0.20,3,0.65,0.90,0.85
8,0.10,290.4,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,320.7,0.50,0.50,1,0.40,0.65,0.55
16,0.55,130.3,5,3,2,0.90,0.85,1,0.95,0.80,0.10,0,1,13,20.1,0.80,0.15,4,0.70,0.95,0.90
10,-0.15,360.8,2,1,7,0.55,0.40,0,0.60,0.50,0.50,0,6,3,400.6,0.45,0.55,1,0.45,0.60,0.50
12,0.35,180.7,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,8,100.4,0.65,0.35,4,0.55,0.80,0.75
7,0.05,410.9,1,0,8,0.50,0.30,0,0.55,0.45,0.60,0,7,2,600.8,0.35,0.65,0,0.30,0.50,0.40
15,0.45,150.6,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,10,60.3,0.75,0.20,3,0.65,0.90,0.80
9,-0.10,320.5,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,300.7,0.50,0.50,1,0.40,0.65,0.55
11,0.30,200.8,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,7,120.5,0.65,0.35,4,0.55,0.80,0.70
6,-0.05,400.2,1,0,7,0.50,0.35,0,0.60,0.50,0.55,0,6,3,500.9,0.40,0.60,0,0.35,0.55,0.45
14,0.50,170.5,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,11,50.2,0.70,0.20,3,0.65,0.90,0.85
8,0.10,300.4,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,320.7,0.50,0.50,1,0.40,0.65,0.55
16,0.55,140.3,5,3,2,0.90,0.85,1,0.95,0.80,0.10,0,1,13,20.1,0.80,0.15,4,0.70,0.95,0.90
10,-0.15,370.8,2,1,7,0.55,0.40,0,0.60,0.50,0.50,0,6,3,400.6,0.45,0.55,1,0.45,0.60,0.50
12,0.35,190.7,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,8,100.4,0.65,0.35,4,0.55,0.80,0.75
7,0.05,420.9,1,0,8,0.50,0.30,0,0.55,0.45,0.60,0,7,2,600.8,0.35,0.65,0,0.30,0.50,0.40
15,0.45,160.6,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,10,60.3,0.75,0.20,3,0.65,0.90,0.80
9,-0.10,330.5,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,300.7,0.50,0.50,1,0.40,0.65,0.55
11,0.30,210.8,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,7,120.5,0.65,0.35,4,0.55,0.80,0.70
6,-0.05,410.2,1,0,7,0.50,0.35,0,0.60,0.50,0.55,0,6,3,500.9,0.40,0.60,0,0.35,0.55,0.45
14,0.50,180.5,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,11,50.2,0.70,0.20,3,0.65,0.90,0.85
8,0.10,310.4,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,320.7,0.50,0.50,1,0.40,0.65,0.55
16,0.55,150.3,5,3,2,0.90,0.85,1,0.95,0.80,0.10,0,1,13,20.1,0.80,0.15,4,0.70,0.95,0.90
10,-0.15,380.8,2,1,7,0.55,0.40,0,0.60,0.50,0.50,0,6,3,400.6,0.45,0.55,1,0.45,0.60,0.50
12,0.35,200.7,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,8,100.4,0.65,0.35,4,0.55,0.80,0.75
7,0.05,430.9,1,0,8,0.50,0.30,0,0.55,0.45,0.60,0,7,2,600.8,0.35,0.65,0,0.30,0.50,0.40
15,0.45,170.6,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,10,60.3,0.75,0.20,3,0.65,0.90,0.80
9,-0.10,340.5,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,300.7,0.50,0.50,1,0.40,0.65,0.55
11,0.30,220.8,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,7,120.5,0.65,0.35,4,0.55,0.80,0.70
6,-0.05,420.2,1,0,7,0.50,0.35,0,0.60,0.50,0.55,0,6,3,500.9,0.40,0.60,0,0.35,0.55,0.45
14,0.50,190.5,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,11,50.2,0.70,0.20,3,0.65,0.90,0.85
8,0.10,320.4,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,320.7,0.50,0.50,1,0.40,0.65,0.55
16,0.55,160.3,5,3,2,0.90,0.85,1,0.95,0.80,0.10,0,1,13,20.1,0.80,0.15,4,0.70,0.95,0.90
10,-0.15,390.8,2,1,7,0.55,0.40,0,0.60,0.50,0.50,0,6,3,400.6,0.45,0.55,1,0.45,0.60,0.50
12,0.35,210.7,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,8,100.4,0.65,0.35,4,0.55,0.80,0.75
7,0.05,440.9,1,0,8,0.50,0.30,0,0.55,0.45,0.60,0,7,2,600.8,0.35,0.65,0,0.30,0.50,0.40
15,0.45,180.6,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,10,60.3,0.75,0.20,3,0.65,0.90,0.80
9,-0.10,350.5,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,300.7,0.50,0.50,1,0.40,0.65,0.55
11,0.30,230.8,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,7,120.5,0.65,0.35,4,0.55,0.80,0.70
6,-0.05,430.2,1,0,7,0.50,0.35,0,0.60,0.50,0.55,0,6,3,500.9,0.40,0.60,0,0.35,0.55,0.45
14,0.50,200.5,4,3,3,0.85,0.80,1,0.90,0.75,0.15,0,2,11,50.2,0.70,0.20,3,0.65,0.90,0.85
8,0.10,330.4,2,1,6,0.60,0.45,0,0.65,0.55,0.45,0,5,4,320.7,0.50,0.50,1,0.40,0.65,0.55
16,0.55,170.3,5,3,2,0.90,0.85,1,0.95,0.80,0.10,0,1,13,20.1,0.80,0.15,4,0.70,0.95,0.90
10,-0.15,400.8,2,1,7,0.55,0.40,0,0.60,0.50,0.50,0,6,3,400.6,0.45,0.55,1,0.45,0.60,0.50
12,0.35,220.7,3,2,4,0.75,0.65,1,0.80,0.70,0.25,1,3,8,100.4,0.65,0.35,4,0.55,0.80,0.75
7,0.05,450.9,1,0,8,0.50,0.30,0,0.55,0.45,0.60,0,7,2,600.8,0.35,0.65,0,0.30,0.50,0.40
